,SN,Filename,Runtime,Recognized,LenR,Sentence,LenS,N_RecW,RecRate,Recognized_words,MissRec_words,Sent_ws,LenS_ws,Rec_ws,LenR_ws,Correctwords_ws,Recwords_ws,RecRate_ws
0,S1,SE01.wav,0.641," When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.",17,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.",17,17,100.0,"when, the, sunlight, strikes, raindrops, in, the, air, they, act, as, a, prism, and, form, a, rainbow",,When sunlight strikes raindrops air act prism form rainbow,9,When sunlight strikes raindrops air act prism form rainbow,9,"When, sunlight, strikes, raindrops, air, act, prism, form, rainbow",9,100.0
1,S2,SE02.wav,0.324, The rainbow is a division of white light into many beautiful colors.,12,The rainbow is a division of white light into many beautiful colors.,12,12,100.0,"the, rainbow, is, a, division, of, white, light, into, many, beautiful, colors",,The rainbow division white light many beautiful colors,8,The rainbow division white light many beautiful colors,8,"The, rainbow, division, white, light, many, beautiful, colors",8,100.0
2,S3,SE03.wav,0.397, These take the shape of a long round arch with its path high above and its two ends apparently beyond the horizon.,22,"These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.",22,22,100.0,"these, take, the, shape, of, a, long, round, arch, with, its, path, high, above, and, its, two, ends, apparently, beyond, the, horizon",,These take shape long round arch path high two ends apparently beyond horizon,13,These take shape long round arch path high two ends apparently beyond horizon,13,"These, take, shape, long, round, arch, path, high, two, ends, apparently, beyond, horizon",13,100.0
3,S4,SE04.wav,0.309," There is, according to legend, a boiling pot of gold at one end.",13,"There is, according to legend, a boiling pot of gold at one end.",13,13,100.0,"there, is, according, to, legend, a, boiling, pot, of, gold, at, one, end",,There according legend boiling pot gold one end,8,There according legend boiling pot gold one end,8,"There, according, legend, boiling, pot, gold, one, end",8,100.0
4,S5,SE05.wav,0.261," People look, but no one ever finds it.",8,"People look, but no one ever finds it.",8,8,100.0,"people, look, but, no, one, ever, finds, it",,People look one ever finds,5,People look one ever finds,5,"People, look, one, ever, finds",5,100.0
5,S6,SE06.wav,0.396," When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.",26,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.",26,26,100.0,"when, a, man, looks, for, something, beyond, his, reach, his, friends, say, he, is, looking, for, the, pot, of, gold, at, the, end, of, the, rainbow",,When man looks something beyond reach friends say looking pot gold end rainbow,13,When man looks something beyond reach friends say looking pot gold end rainbow,13,"When, man, looks, something, beyond, reach, friends, say, looking, pot, gold, end, rainbow",13,100.0
6,S7,SE07.wav,0.277, Throughout the centuries people have explained the rainbow in various ways.,11,Throughout the centuries people have explained the rainbow in various ways.,11,11,100.0,"throughout, the, centuries, people, have, explained, the, rainbow, in, various, ways",,Throughout centuries people explained rainbow various ways,7,Throughout centuries people explained rainbow various ways,7,"Throughout, centuries, people, explained, rainbow, various, ways",7,100.0
7,S8,SE08.wav,0.273, Some have accepted it as a miracle without physical explanation.,10,Some have accepted it as a miracle without physical explanation.,10,10,100.0,"some, have, accepted, it, as, a, miracle, without, physical, explanation",,Some accepted miracle without physical explanation,6,Some accepted miracle without physical explanation,6,"Some, accepted, miracle, without, physical, explanation",6,100.0
8,S9,SE09.wav,0.312, To the Hebrews it was a token that there would be no more universal floods.,15,To the Hebrews it was a token that there would be no more universal floods.,15,15,100.0,"to, the, hebrews, it, was, a, token, that, there, would, be, no, more, universal, floods",,To Hebrews token would universal floods,6,To Hebrews token would universal floods,6,"To, Hebrews, token, would, universal, floods",6,100.0
9,S10,SE10.wav,0.339, The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.,19,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.,19,19,100.0,"the, greeks, used, to, imagine, that, it, was, a, sign, from, the, gods, to, foretell, war, or, heavy, rain",,The Greeks used imagine sign gods foretell war heavy rain,10,The Greeks used imagine sign gods foretell war heavy rain,10,"The, Greeks, used, imagine, sign, gods, foretell, war, heavy, rain",10,100.0
10,S11,SE11.wav,0.357," The Norsemen considered the rainbow as a bridge over which the gods passed from birth to their home, in the sky.",21,The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky.,21,20,95.24,"the, norsemen, considered, the, rainbow, as, a, bridge, over, which, the, gods, passed, from, to, their, home, in, the, sky",birth,The Norsemen considered rainbow bridge gods passed earth home sky,10,The Norsemen considered rainbow bridge gods passed birth home sky,10,"The, Norsemen, considered, rainbow, bridge, gods, passed, home, sky",9,90.0
11,S12,SE12.wav,0.254, Others have tried to explain the phenomenon physically.,8,Others have tried to explain the phenomenon physically.,8,8,100.0,"others, have, tried, to, explain, the, phenomenon, physically",,Others tried explain phenomenon physically,5,Others tried explain phenomenon physically,5,"Others, tried, explain, phenomenon, physically",5,100.0
12,S13,SE13.wav,0.329, Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.,17,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.,17,17,100.0,"aristotle, thought, that, the, rainbow, was, caused, by, reflection, of, the, sun, s, rays, by, the, rain",,Aristotle thought rainbow caused reflection sun rays rain,8,Aristotle thought rainbow caused reflection sun rays rain,8,"Aristotle, thought, rainbow, caused, reflection, sun, rays, rain",8,100.0
13,S14,SE14.wav,0.474," Since then, physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows.",19,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows.",19,19,100.0,"since, then, physicists, have, found, that, it, is, not, reflection, but, refraction, by, the, raindrops, which, causes, the, rainbows",,Since physicists found reflection refraction raindrops causes rainbows,8,Since physicists found reflection refraction raindrops causes rainbows,8,"Since, physicists, found, reflection, refraction, raindrops, causes, rainbows",8,100.0
14,S15,SE15.wav,0.261, Many complicated ideas about the rainbow have been formed.,9,Many complicated ideas about the rainbow have been formed.,9,9,100.0,"many, complicated, ideas, about, the, rainbow, have, been, formed",,Many complicated ideas rainbow formed,5,Many complicated ideas rainbow formed,5,"Many, complicated, ideas, rainbow, formed",5,100.0
15,S16,SE16.wav,0.429," The difference in the rainbow depends considerably upon the size of the drops, and the width of the coloured band increases as the size of the drops increases.",28,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases.",28,27,96.43,"the, difference, in, the, rainbow, depends, considerably, upon, the, size, of, the, drops, and, the, width, of, the, band, increases, as, the, size, of, the, drops, increases",coloured,The difference rainbow depends considerably upon size drops width colored band increases size drops increases,15,The difference rainbow depends considerably upon size drops width coloured band increases size drops increases,15,"The, difference, rainbow, depends, considerably, upon, size, drops, width, band, increases, size, drops, increases",14,93.33
16,S17,SE17.wav,0.345, The actual primary rainbow observed is said to be the effect of superimposition of a number of bows.,18,The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows.,19,17,89.47,"the, actual, primary, rainbow, observed, is, said, to, be, the, effect, of, of, a, number, of, bows",superimposition,The actual primary rainbow observed said effect super imposition number bows,11,The actual primary rainbow observed said effect superimposition number bows,10,"The, actual, primary, rainbow, observed, said, effect, number, bows",9,81.82
17,S18,SE18.wav,0.464," If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow.",36,"If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow.",36,36,100.0,"if, the, red, of, the, second, bow, falls, upon, the, green, of, the, first, the, result, is, to, give, a, bow, with, an, abnormally, wide, yellow, band, since, red, and, green, light, when, mixed, form, yellow",,If red second bow falls upon green first result give bow abnormally wide yellow band since red green light mixed form yellow,22,If red second bow falls upon green first result give bow abnormally wide yellow band since red green light mixed form yellow,22,"If, red, second, bow, falls, upon, green, first, result, give, bow, abnormally, wide, yellow, band, since, red, green, light, mixed, form, yellow",22,100.0
18,S19,SE19.wav,0.365," This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue.",21,"This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue.",21,21,100.0,"this, is, a, very, common, type, of, bow, one, showing, mainly, red, and, yellow, with, little, or, no, green, or, blue",,This common type bow one showing mainly red yellow little green blue,12,This common type bow one showing mainly red yellow little green blue,12,"This, common, type, bow, one, showing, mainly, red, yellow, little, green, blue",12,100.0
